Ward #,Ward Name,Constituency,Complaints,Constituency Level,Complaint Count
195,Konanakunte,BANGALORE SOUTH,53,,
52,K R Pura,K.R.PURA,52,,
101,Kamakshipalya,RAJAJI NAGAR,52,,
165,Ganesh Mandiara Ward,PADMANABA NAGAR,52,,
2,Chowdeshwari Ward,YELAHANKA,51,,
77,Dattatreya Temple,GANDHI NAGAR,51,,
117,Shanthi Nagar,SHANTI NAGAR,51,,
132,Attiguppe,VIJAYA NAGAR,51,,
37,Yeshwanthpura,RAJARAJESHWARI NAGAR,50,,
87,HAL Airport,K.R.PURA,49,,
97,Dayananda Nagar,RAJAJI NAGAR,49,,
184,Uttarahalli,BANGALORE SOUTH,49,,
115,Vannarpete,SHANTI NAGAR,48,,
138,Chalavadipalya,CHAMARAJPET,48,,
108,Srirammandir,RAJAJI NAGAR,47,,
133,Hampinagara,VIJAYA NAGAR,46,,
17,JP Park,RAJARAJESHWARI NAGAR,45,,
166,Karisandra,PADMANABA NAGAR,45,,
65,Kadu Malleshwara Ward,MALLESWARAM,44,,
158,Deepanjali Nagara,VIJAYA NAGAR,44,,
109,Chickpete,GANDHI NAGAR,43,,
113,Konena Agrahara,C.V. RAMAN NAGAR (SC),42,,
88,Jeevanbhima Nagar,C.V. RAMAN NAGAR (SC),41,,
114,Agara,SHANTI NAGAR,41,,
196,Anjanapura,BANGALORE SOUTH,40,,
168,Pattabhiram Nagar,JAYANAGAR,39,,
91,Bharathi Nagar,SHIVAJI NAGAR,38,,
110,Sampangiram Nagar,SHIVAJI NAGAR,38,,
74,Shakthi Ganapathi Nagar,MAHALAXMI LAYOUT,37,,
28,Kammanahalli,SARVARGNA NAGAR,34,,
106,Dr Raj Kumar Ward,GOVINDRAJA NAGAR,34,,
164,Vidyapeeta Ward,BASAVANAGUDI,34,,
180,Banashankari Temple Ward,PADMANABA NAGAR,34,,
1,Kempegowda Ward,YELAHANKA,33,,
172,Madivala,B.T.M. LAYOUT,32,,
99,Rajajinagar,RAJAJI NAGAR,31,,
105,Agrahara Dasarahalli,GOVINDRAJA NAGAR,31,,
107,Shivanagara,RAJAJI NAGAR,31,,
78,Pulikeshi Nagar,PULAKESHI NAGAR (SC),30,,
102,Vrisabhavathi Nagar,MAHALAXMI LAYOUT,29,,
120,Cottonpete,GANDHI NAGAR,29,,
33,Manorayanapalya,HEBBAL,28,,
49,Lingarajapura,SARVARGNA NAGAR,27,,
